date,open,high,low,close,volume,amount,tradable,is_st,is_delisted
2018-01-02,18.04,18.16,17.9,17.94,4400014,78936251.16,1,0,0
2018-01-03,18.09,18.28,18.0,18.1,12491169,226090158.9,1,0,0
2018-01-04,18.0,18.1,17.3,17.42,13483906,234889642.52,1,0,0
2018-01-05,17.5,17.66,17.29,17.3,9314642,161143306.6,1,0,0
2018-01-08,17.2,17.72,17.02,17.56,14951902,262555399.12,1,0,0
2018-01-09,17.56,17.66,17.49,17.65,2515133,44392097.45,1,0,0
2018-01-10,17.72,17.83,17.09,17.14,3415062,58534162.68,1,0,0
2018-01-11,17.35,17.41,17.26,17.34,7142290,123847308.6,1,0,0
2018-01-12,17.44,17.52,17.19,17.2,8035088,138203513.6,1,0,0
2018-01-15,17.2,17.25,16.82,16.88,4329728,73085808.64,1,0,0
2018-01-16,17.06,17.21,16.42,16.52,8042242,132857837.84,1,0,0
2018-01-17,16.55,16.66,16.36,16.48,7052661,116227853.28,1,0,0
2018-01-18,16.42,16.44,16.18,16.22,8853817,143608911.74,1,0,0
2018-01-19,16.11,16.13,16.08,16.08,7297629,117345874.32,1,0,0
2018-01-22,16.08,16.13,15.53,15.76,9231585,145489779.6,1,0,0
2018-01-23,15.72,15.76,15.66,15.69,6871141,107808202.29,1,0,0
2018-01-24,15.61,15.82,15.37,15.78,5099438,80469131.64,1,0,0
2018-01-25,15.82,15.93,15.74,15.91,11054434,175876044.94,1,0,0
2018-01-26,15.91,15.92,15.68,15.73,6269990,98626942.7,1,0,0
2018-01-29,15.69,15.86,15.41,15.61,3705890,57848942.9,1,0,0
2018-01-30,15.57,15.68,15.22,15.31,8948442,137000647.02,1,0,0
2018-01-31,15.2,15.55,14.97,15.37,14568635,223919919.95,1,0,0
2018-02-01,15.44,15.51,15.21,15.3,12700455,194316961.5,1,0,0
2018-02-02,15.35,15.4,14.98,15.11,7502977,113369982.47,1,0,0
2018-02-05,15.14,15.42,15.06,15.29,8459176,129340801.04,1,0,0
2018-02-06,15.28,15.36,15.2,15.28,11245191,171826518.48,1,0,0
2018-02-07,15.45,15.68,14.73,14.92,10799204,161124123.68,1,0,0
2018-02-08,14.75,14.88,13.99,14.28,4898619,69952279.32,1,0,0
2018-02-09,14.2,14.24,13.66,13.79,7684345,105967117.55,1,0,0
2018-02-12,13.77,14.11,13.7,14.04,2230015,31309410.6,1,0,0
2018-02-13,14.07,14.12,13.63,13.78,10767718,148379154.04,1,0,0
2018-02-14,13.68,13.86,13.34,13.43,4217718,56643952.74,1,0,0
2018-02-15,13.5,13.65,13.37,13.41,5678655,76150763.55,1,0,0
2018-02-16,13.57,13.71,13.39,13.45,7239311,97368732.95,1,0,0
2018-02-19,13.43,14.0,13.35,13.95,2054279,28657192.05,1,0,0
2018-02-20,13.94,14.13,13.92,14.01,8209698,115017868.98,1,0,0
2018-02-21,13.93,13.94,13.83,13.9,14140948,196559177.2,1,0,0
2018-02-22,13.95,14.3,13.92,14.27,8272792,118052741.84,1,0,0
2018-02-23,14.35,14.5,14.15,14.41,7485739,107869498.99,1,0,0
2018-02-26,14.4,14.58,14.36,14.53,5519450,80197608.5,1,0,0
2018-02-27,14.5,14.54,14.5,14.52,13797089,200333732.28,1,0,0
2018-02-28,14.52,15.05,14.41,15.01,5780582,86766535.82,1,0,0
2018-03-01,14.97,15.0,14.44,14.55,13079098,190300875.9,1,0,0
2018-03-02,14.62,15.05,14.51,14.89,2909818,43327190.02,1,0,0
2018-03-05,14.91,15.49,14.72,15.46,12218222,188893712.12,1,0,0
2018-03-06,15.46,15.59,14.99,15.05,11243428,169213591.4,1,0,0
2018-03-07,15.11,15.21,14.6,14.86,4239245,62995180.7,1,0,0
2018-03-08,14.88,15.01,14.59,14.72,11721660,172542835.2,1,0,0
2018-03-09,14.93,15.11,14.22,14.27,14918558,212887822.66,1,0,0
2018-03-12,14.32,14.36,13.6,13.64,7954054,108493296.56,1,0,0
2018-03-13,13.64,13.64,13.58,13.63,11898520,162176827.6,1,0,0
2018-03-14,13.57,13.59,13.42,13.55,9299208,126004268.4,1,0,0
2018-03-15,13.49,13.59,13.37,13.55,12743469,172674004.95,1,0,0
2018-03-16,13.44,13.86,13.31,13.71,7904578,108371764.38,1,0,0
2018-03-19,13.65,13.68,13.31,13.46,4360056,58686353.76,1,0,0
2018-03-20,13.47,13.5,13.4,13.41,11160525,149662640.25,1,0,0
2018-03-21,13.35,13.54,13.2,13.41,7944328,106533438.48,1,0,0
2018-03-22,13.44,13.51,13.0,13.03,6710357,87435951.71,1,0,0
2018-03-23,12.99,13.08,12.77,12.83,10123019,129878333.77,1,0,0
2018-03-26,12.83,12.97,12.75,12.88,6306693,81230205.84,1,0,0
2018-03-27,12.88,12.88,12.88,12.88,0,0,0,0,0
2018-03-28,12.88,12.88,12.88,12.88,0,0,0,0,0
2018-03-29,12.88,12.88,12.88,12.88,0,0,0,0,0
2018-03-30,12.88,12.88,12.88,12.88,0,0,0,0,0
2018-04-02,12.88,12.88,12.88,12.88,0,0,0,0,0
2018-04-03,12.88,12.88,12.88,12.88,0,0,0,0,0
2018-04-04,12.88,12.88,12.88,12.88,0,0,0,0,0
2018-04-05,12.88,12.88,12.88,12.88,0,0,0,0,0
2018-04-06,12.88,12.88,12.88,12.88,0,0,0,0,0
2018-04-09,12.88,12.88,12.88,12.88,0,0,0,0,0
